id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
25779218,匆匆那年,,https://dou.img.lithub.cc/movie/25779218.jpg,2014-12-05(中国大陆),https://movie.douban.com/subject/25779218/,5.6,爱情,,,,2019-10-09 07:05:00,2014 / 中国大陆 / 爱情 / 张一白 / 彭于晏 倪妮
25444447,黄飞鸿之英雄有梦,,https://dou.img.lithub.cc/movie/25444447.jpg,2014-11-21(中国大陆),https://movie.douban.com/subject/25444447/,5.7,"剧情,动作,爱情",,,,2019-10-09 07:04:54,2014 / 中国大陆 中国香港 英国 / 剧情 动作 爱情 武侠 / 周显扬 / 彭于晏 井柏然
21349345,移动迷宫,,https://dou.img.lithub.cc/movie/21349345.jpg,2014-10-28(中国大陆),https://movie.douban.com/subject/21349345/,7.1,"动作,科幻,冒险",,,,2019-10-09 07:04:34,2014 / 美国 英国 / 动作 科幻 冒险 / 韦斯·鲍尔 / 迪伦·奥布莱恩 阿梅尔·艾米恩
7054604,变形金刚4：绝迹重生,,https://dou.img.lithub.cc/movie/7054604.jpg,2014-06-27(中国大陆),https://movie.douban.com/subject/7054604/,6.7,"动作,科幻,冒险",,,,2019-10-09 07:04:32,2014 / 美国 中国大陆 中国香港 / 动作 科幻 冒险 / 迈克尔·贝 / 马克·沃尔伯格 斯坦利·图齐
6517421,惊天魔盗团,,https://dou.img.lithub.cc/movie/6517421.jpg,2013-10-10(中国大陆),https://movie.douban.com/subject/6517421/,7.8,"剧情,悬疑,犯罪",,,,2019-10-09 07:04:16,2013 / 美国 法国 / 剧情 悬疑 犯罪 / 路易斯·莱特里尔 / 杰西·艾森伯格 艾拉·菲舍尔
6533054,饥饿游戏3：嘲笑鸟(上),,https://dou.img.lithub.cc/movie/6533054.jpg,2015-02-08(中国大陆),https://movie.douban.com/subject/6533054/,6.3,"动作,科幻,冒险",,,,2019-10-09 07:03:57,2014 / 美国 / 动作 科幻 冒险 / 弗朗西斯·劳伦斯 / 詹妮弗·劳伦斯 乔什·哈切森
24743711,催眠大师,,https://dou.img.lithub.cc/movie/24743711.jpg,2014-04-29(中国大陆),https://movie.douban.com/subject/24743711/,7.6,"悬疑,惊悚",,,,2019-10-09 07:02:55,2014 / 中国大陆 / 悬疑 惊悚 / 陈正道 / 徐峥 莫文蔚
25709273,痞子英雄2：黎明升起,,https://dou.img.lithub.cc/movie/25709273.jpg,2014-10-01(中国大陆),https://movie.douban.com/subject/25709273/,5.6,"剧情,动作,犯罪",,,,2019-10-09 07:02:45,2014 / 中国大陆 中国台湾 中国香港 / 剧情 动作 犯罪 / 蔡岳勋 / 赵又廷 林更新
25805741,后会无期,,https://dou.img.lithub.cc/movie/25805741.jpg,2014-07-24(中国大陆),https://movie.douban.com/subject/25805741/,7.2,剧情,,,,2019-10-09 07:02:05,2014 / 中国大陆 / 剧情 / 韩寒 / 冯绍峰 陈柏霖
25717233,心花路放,,https://dou.img.lithub.cc/movie/25717233.jpg,2014-09-30(中国大陆),https://movie.douban.com/subject/25717233/,7.2,"喜剧,爱情",,,,2019-10-09 07:00:54,2014 / 中国大陆 / 喜剧 爱情 / 宁浩 / 黄渤 徐峥
26219652,少年班,,https://dou.img.lithub.cc/movie/26219652.jpg,2015-06-19(中国大陆),https://movie.douban.com/subject/26219652/,6,"剧情,喜剧",,,,2019-10-09 06:59:35,2015 / 中国大陆 / 剧情 喜剧 / 肖洋 / 孙红雷 周冬雨
10047547,饥饿游戏3：嘲笑鸟(下),,https://dou.img.lithub.cc/movie/10047547.jpg,2015-11-20(中国大陆),https://movie.douban.com/subject/10047547/,6.5,"动作,科幻,冒险",,,,2019-10-09 06:59:17,2015 / 美国 / 动作 科幻 冒险 / 弗朗西斯·劳伦斯 / 詹妮弗·劳伦斯 乔什·哈切森
25710912,港囧,,https://dou.img.lithub.cc/movie/25710912.jpg,2015-09-25(中国大陆),https://movie.douban.com/subject/25710912/,5.7,喜剧,,,,2019-10-09 06:57:47,2015 / 中国大陆 / 喜剧 / 徐峥 / 徐峥 包贝尔
24745500,绣春刀,,https://dou.img.lithub.cc/movie/24745500.jpg,2014-08-07(中国大陆),https://movie.douban.com/subject/24745500/,7.7,"剧情,动作,武侠",,,,2019-10-09 06:57:34,2014 / 中国大陆 / 剧情 动作 武侠 古装 / 路阳 / 张震 刘诗诗
24405378,王牌特工：特工学院,,https://dou.img.lithub.cc/movie/24405378.jpg,2015-03-27(中国大陆),https://movie.douban.com/subject/24405378/,8.4,"喜剧,动作,冒险",,,,2019-10-09 06:57:04,2014 / 英国 美国 / 喜剧 动作 冒险 / 马修·沃恩 / 塔伦·埃哲顿 科林·费尔斯
24753810,战狼,,https://dou.img.lithub.cc/movie/24753810.jpg,2015-04-02(中国大陆),https://movie.douban.com/subject/24753810/,7,"动作,战争",,,,2019-10-09 06:55:56,2015 / 中国大陆 / 动作 战争 / 吴京 / 吴京 余男
21817627,爱宠大机密,,https://dou.img.lithub.cc/movie/21817627.jpg,2016-08-02(中国大陆),https://movie.douban.com/subject/21817627/,7.8,"喜剧,动画",,,,2019-10-09 06:55:27,2016 / 美国 / 喜剧 动画 / 克里斯·雷纳德 亚罗·切尼 / 路易·C·K 艾瑞克·斯通斯崔特
24719063,烈日灼心,,https://dou.img.lithub.cc/movie/24719063.jpg,2015-08-27(中国大陆),https://movie.douban.com/subject/24719063/,8.3,"剧情,悬疑,犯罪",,,,2019-10-09 06:55:21,2015 / 中国大陆 / 剧情 悬疑 犯罪 / 曹保平 / 邓超 段奕宏
21350556,三少爷的剑,,https://dou.img.lithub.cc/movie/21350556.jpg,2016-12-02(中国大陆),https://movie.douban.com/subject/21350556/,4.8,"剧情,动作,武侠",,,,2019-10-09 06:55:15,2016 / 中国大陆 / 剧情 动作 武侠 古装 / 尔冬升 / 林更新 何润东
25964071,夏洛特烦恼,,https://dou.img.lithub.cc/movie/25964071.jpg,2015-09-30(中国大陆),https://movie.douban.com/subject/25964071/,7.9,"喜剧,爱情",,,,2019-10-09 06:54:46,2015 / 中国大陆 / 喜剧 爱情 / 闫非 彭大魔 / 沈腾 马丽
2154096,士兵突击,,https://dou.img.lithub.cc/movie/2154096.jpg,2006-12-24(中国大陆),https://movie.douban.com/subject/2154096/,9.5,剧情,,,,2019-10-09 06:53:54,2006 / 中国大陆 / 剧情 / 康洪雷 / 王宝强 陈思诚
25662327,火锅英雄,,https://dou.img.lithub.cc/movie/25662327.jpg,2016-04-01(中国大陆),https://movie.douban.com/subject/25662327/,7.2,"剧情,犯罪",,,,2019-10-09 06:53:50,2016 / 中国大陆 / 剧情 犯罪 / 杨庆 / 陈坤 白百何
26752088,我不是药神,,https://dou.img.lithub.cc/movie/26752088.jpg,2018-07-05(中国大陆),https://movie.douban.com/subject/26752088/,9,"剧情,喜剧",,,,2019-10-09 06:53:38,2018 / 中国大陆 / 剧情 喜剧 / 文牧野 / 徐峥 王传君
3025375,奇异博士,,https://dou.img.lithub.cc/movie/3025375.jpg,2016-11-04(中国大陆),https://movie.douban.com/subject/3025375/,7.6,"动作,奇幻,冒险",,,,2019-10-09 06:51:16,2016 / 美国 / 动作 奇幻 冒险 / 斯科特·德瑞克森 / 本尼迪克特·康伯巴奇 蒂尔达·斯文顿
26325320,血战钢锯岭,,https://dou.img.lithub.cc/movie/26325320.jpg,2016-12-08(中国大陆),https://movie.douban.com/subject/26325320/,8.7,"剧情,传记,历史",,,,2019-10-09 06:50:23,2016 / 澳大利亚 美国 / 剧情 传记 历史 战争 / 梅尔·吉布森 / 安德鲁·加菲尔德 萨姆·沃辛顿
26311973,唐人街探案,,https://dou.img.lithub.cc/movie/26311973.jpg,2015-12-31(中国大陆),https://movie.douban.com/subject/26311973/,7.7,"喜剧,动作,悬疑",,,,2019-10-09 06:49:53,2015 / 中国大陆 / 喜剧 动作 悬疑 / 陈思诚 / 王宝强 刘昊然
26378579,王牌特工2：黄金圈,,https://dou.img.lithub.cc/movie/26378579.jpg,2017-10-20(中国大陆),https://movie.douban.com/subject/26378579/,6.8,"喜剧,动作,冒险",,,,2019-10-09 06:49:06,2017 / 英国 美国 / 喜剧 动作 冒险 / 马修·沃恩 / 塔伦·埃哲顿 科林·费尔斯
26862259,乘风破浪,,https://dou.img.lithub.cc/movie/26862259.jpg,2017-01-28(中国大陆),https://movie.douban.com/subject/26862259/,6.8,"剧情,喜剧",,,,2019-10-09 06:48:56,2017 / 中国大陆 / 剧情 喜剧 / 韩寒 / 邓超 彭于晏
32659890,我和我的祖国,,https://dou.img.lithub.cc/movie/32659890.jpg,2019-09-30(中国大陆),https://movie.douban.com/subject/32659890/,7.6,剧情,,,,2019-10-09 06:48:52,2019 / 中国大陆 / 剧情 / 陈凯歌 张一白 管虎 薛晓路 徐峥 宁浩 文牧野 / 黄渤 张译
